Pasture_patch,Year,Pasture_patch_year,Burn Cohort
DUN_C,2014,DUN_C_2014,Z
DUN_C,2015,DUN_C_2015,Z
DUN_C,2016,DUN_C_2016,Z
DUN_C,2017,DUN_C_2017,Z
DUN_E,2014,DUN_E_2014,Z
DUN_E,2015,DUN_E_2015,Z
DUN_E,2016,DUN_E_2016,Z
DUN_E,2017,DUN_E_2017,Z
DUN_W,2014,DUN_W_2014,Z
DUN_W,2015,DUN_W_2015,Z
DUN_W,2016,DUN_W_2016,Z
DUN_W,2017,DUN_W_2017,Z
GIL_C,2007,GIL_C_2007,Z
GIL_C,2008,GIL_C_2008,Z
GIL_N,2007,GIL_N_2007,Z
GIL_N,2008,GIL_N_2008,Z
GIL_S,2007,GIL_S_2007,Z
GIL_S,2008,GIL_S_2008,Z
KLN_C,2007,KLN_C_2007,Z
KLN_W,2007,KLN_W_2007,Z
KLN_W,2008,KLN_W_2008,Z
KLT_E,2007,KLT_E_2007,Z
KLT_E,2008,KLT_E_2008,Z
KLT_S,2007,KLT_S_2007,Z
KLT_S,2008,KLT_S_2008,Z
KLT_W,2007,KLT_W_2007,Z
KLT_W,2008,KLT_W_2008,Z
LTR_C,2007,LTR_C_2007,Z
LTR_C,2008,LTR_C_2008,Z
LTR_E,2007,LTR_E_2007,Z
LTR_E,2008,LTR_E_2008,Z
LTR_W,2007,LTR_W_2007,Z
LTR_W,2008,LTR_W_2008,Z
PAW_E,2007,PAW_E_2007,Z
PAW_E,2008,PAW_E_2008,Z
PAW_E,2009,PAW_E_2009,Z
PAW_E,2010,PAW_E_2010,Z
PAW_E,2011,PAW_E_2011,Z
PAW_E,2012,PAW_E_2012,Z
PAW_E,2013,PAW_E_2013,Z
PAW_E,2014,PAW_E_2014,Z
PAW_E,2015,PAW_E_2015,Z
PAW_E,2016,PAW_E_2016,Z
PAW_S,2007,PAW_S_2007,Z
PAW_S,2008,PAW_S_2008,Z
PAW_S,2009,PAW_S_2009,Z
PAW_S,2010,PAW_S_2010,Z
PAW_S,2011,PAW_S_2011,Z
PAW_S,2012,PAW_S_2012,Z
PAW_S,2013,PAW_S_2013,Z
PAW_S,2014,PAW_S_2014,Z
PAW_S,2015,PAW_S_2015,Z
PAW_S,2016,PAW_S_2016,Z
PAW_W,2007,PAW_W_2007,Z
PAW_W,2008,PAW_W_2008,Z
PAW_W,2009,PAW_W_2009,Z
PAW_W,2010,PAW_W_2010,Z
PAW_W,2011,PAW_W_2011,Z
PAW_W,2012,PAW_W_2012,Z
PAW_W,2013,PAW_W_2013,Z
PAW_W,2014,PAW_W_2014,Z
PAW_W,2015,PAW_W_2015,Z
PAW_W,2016,PAW_W_2016,Z
PYN_S,2007,PYN_S_2007,Z
PYN_S,2008,PYN_S_2008,Z
PYN_W,2007,PYN_W_2007,Z
PYS_N,2007,PYS_N_2007,Z
PYS_N,2008,PYS_N_2008,Z
PYS_S,2007,PYS_S_2007,Z
PYW_C,2007,PYW_C_2007,Z
PYW_C,2008,PYW_C_2008,Z
PYW_N,2007,PYW_N_2007,Z
PYW_N,2008,PYW_N_2008,Z
PYW_S,2007,PYW_S_2007,Z
PYW_S,2008,PYW_S_2008,Z
RIN_E,2007,RIN_E_2007,Z
RIN_E,2008,RIN_E_2008,Z
RIN_S,2007,RIN_S_2007,Z
RIN_S,2008,RIN_S_2008,Z
RIN_W,2007,RIN_W_2007,Z
RIN_W,2008,RIN_W_2008,Z
RIS_C,2007,RIS_C_2007,Z
RIS_C,2008,RIS_C_2008,Z
RIS_N,2007,RIS_N_2007,Z
STE_N,2007,STE_N_2007,Z
STE_N,2008,STE_N_2008,Z
STE_S,2007,STE_S_2007,Z
STE_S,2008,STE_S_2008,Z
STE_W,2007,STE_W_2007,Z
STE_W,2008,STE_W_2008,Z
BSH_C,2014,BSH_C_2014,X
BSH_C,2015,BSH_C_2015,X
BSH_C,2016,BSH_C_2016,X
BSH_C,2017,BSH_C_2017,X
BSH_N,2014,BSH_N_2014,X
BSH_N,2015,BSH_N_2015,X
BSH_N,2016,BSH_N_2016,X
BSH_N,2017,BSH_N_2017,X
BSH_S,2014,BSH_S_2014,X
BSH_S,2015,BSH_S_2015,X
BSH_S,2016,BSH_S_2016,X
BSH_S,2017,BSH_S_2017,X
RC2_C,2014,RC2_C_2014,X
RC2_C,2015,RC2_C_2015,X
RC2_C,2016,RC2_C_2016,X
RC2_C,2017,RC2_C_2017,X
RC2_N,2014,RC2_N_2014,X
RC2_N,2015,RC2_N_2015,X
RC2_N,2016,RC2_N_2016,X
RC2_N,2017,RC2_N_2017,X
RC2_S,2014,RC2_S_2014,X
RC2_S,2015,RC2_S_2015,X
RC2_S,2016,RC2_S_2016,X
RC2_S,2017,RC2_S_2017,X
PAW_E,2017,PAW_E_2017,E1
PAW_S,2017,PAW_S_2017,E1
PAW_W,2017,PAW_W_2017,E1
RIN_E,2017,RIN_E_2017,E1
RIN_S,2017,RIN_S_2017,E1
RIN_W,2017,RIN_W_2017,E1
STE_N,2017,STE_N_2017,E1
STE_S,2017,STE_S_2017,E1
STE_W,2017,STE_W_2017,E1
KLT_E,2016,KLT_E_2016,D1
KLT_E,2017,KLT_E_2017,D1
KLT_S,2016,KLT_S_2016,D1
KLT_S,2017,KLT_S_2017,D1
KLT_W,2016,KLT_W_2016,D1
KLT_W,2017,KLT_W_2017,D1
GIL_C,2015,GIL_C_2015,C3
GIL_C,2016,GIL_C_2016,C3
GIL_C,2017,GIL_C_2017,C3
GIL_N,2015,GIL_N_2015,C3
GIL_N,2016,GIL_N_2016,C3
GIL_N,2017,GIL_N_2017,C3
GIL_S,2015,GIL_S_2015,C3
GIL_S,2016,GIL_S_2016,C3
GIL_S,2017,GIL_S_2017,C3
KLN_W,2015,KLN_W_2015,C3
KLN_W,2016,KLN_W_2016,C3
KLN_W,2017,KLN_W_2017,C3
LTR_C,2015,LTR_C_2015,C3
LTR_C,2016,LTR_C_2016,C3
LTR_C,2017,LTR_C_2017,C3
LTR_E,2015,LTR_E_2015,C3
LTR_E,2016,LTR_E_2016,C3
LTR_E,2017,LTR_E_2017,C3
LTR_W,2015,LTR_W_2015,C3
LTR_W,2016,LTR_W_2016,C3
LTR_W,2017,LTR_W_2017,C3
PYN_S,2015,PYN_S_2015,C3
PYN_S,2016,PYN_S_2016,C3
PYN_S,2017,PYN_S_2017,C3
PYS_N,2015,PYS_N_2015,C3
PYS_N,2016,PYS_N_2016,C3
PYS_N,2017,PYS_N_2017,C3
PYW_C,2015,PYW_C_2015,C3
PYW_C,2016,PYW_C_2016,C3
PYW_C,2017,PYW_C_2017,C3
PYW_N,2015,PYW_N_2015,C3
PYW_N,2016,PYW_N_2016,C3
PYW_N,2017,PYW_N_2017,C3
PYW_S,2015,PYW_S_2015,C3
PYW_S,2016,PYW_S_2016,C3
PYW_S,2017,PYW_S_2017,C3
RIS_C,2015,RIS_C_2015,C3
RIS_C,2016,RIS_C_2016,C3
RIS_C,2017,RIS_C_2017,C3
GIL_C,2012,GIL_C_2012,C2
GIL_C,2013,GIL_C_2013,C2
GIL_C,2014,GIL_C_2014,C2
GIL_N,2012,GIL_N_2012,C2
GIL_N,2013,GIL_N_2013,C2
GIL_N,2014,GIL_N_2014,C2
GIL_S,2012,GIL_S_2012,C2
GIL_S,2013,GIL_S_2013,C2
GIL_S,2014,GIL_S_2014,C2
KLN_W,2012,KLN_W_2012,C2
