Pasture,Patch,Pasture_patch,Year,Pasture_patch_year,FireTreat,HerbTreat,GrazingTreat,Grazing,TSF,TSH
235,C,235_C,2014,235_C_2014,PB,Yes,SLS,Yes,1,Inexact
235,C,235_C,2015,235_C_2015,PB,Yes,SLS,Yes,2,Inexact
235,C,235_C,2016,235_C_2016,PB,Yes,SLS,Yes,0,Inexact
235,C,235_C,2017,235_C_2017,PB,Yes,SLS,Yes,1,Inexact
235,N,235_N,2014,235_N_2014,PB,Yes,SLS,Yes,0,Inexact
235,N,235_N,2015,235_N_2015,PB,Yes,SLS,Yes,1,0.5
235,N,235_N,2016,235_N_2016,PB,Yes,SLS,Yes,2,1.5
235,N,235_N,2017,235_N_2017,PB,Yes,SLS,Yes,0,2.5
235,S,235_S,2014,235_S_2014,PB,Yes,SLS,Yes,UNK,Inexact
235,S,235_S,2015,235_S_2015,PB,Yes,SLS,Yes,0,Inexact
235,S,235_S,2016,235_S_2016,PB,Yes,SLS,Yes,1,Inexact
235,S,235_S,2017,235_S_2017,PB,Yes,SLS,Yes,2,Inexact
BSH,C,BSH_C,2014,BSH_C_2014,No,No,None,No,Never,Never
BSH,C,BSH_C,2015,BSH_C_2015,No,Yes,None,No,Never,0.5
BSH,C,BSH_C,2016,BSH_C_2016,No,Yes,None,No,Never,1.5
BSH,C,BSH_C,2017,BSH_C_2017,No,Yes,None,No,Never,2.5
BSH,N,BSH_N,2014,BSH_N_2014,No,No,None,No,Never,Never
BSH,N,BSH_N,2015,BSH_N_2015,No,Yes,None,No,Never,Never
BSH,N,BSH_N,2016,BSH_N_2016,No,Yes,None,No,Never,Never
BSH,N,BSH_N,2017,BSH_N_2017,No,Yes,None,No,Never,Never
BSH,S,BSH_S,2014,BSH_S_2014,No,No,None,No,Never,Never
BSH,S,BSH_S,2015,BSH_S_2015,No,Yes,None,No,Never,0.5
BSH,S,BSH_S,2016,BSH_S_2016,No,Yes,None,No,Never,1.5
BSH,S,BSH_S,2017,BSH_S_2017,No,Yes,None,No,Never,2.5
DUN,C,DUN_C,2014,DUN_C_2014,No,No,None,No,UNK,Never
DUN,C,DUN_C,2015,DUN_C_2015,No,Yes,None,No,UNK,0.5
DUN,C,DUN_C,2016,DUN_C_2016,No,Yes,None,No,UNK,1.5
DUN,C,DUN_C,2017,DUN_C_2017,No,Yes,None,No,UNK,2.5
DUN,E,DUN_E,2014,DUN_E_2014,No,No,None,No,UNK,Never
DUN,E,DUN_E,2015,DUN_E_2015,No,Yes,None,No,UNK,0.5
DUN,E,DUN_E,2016,DUN_E_2016,No,Yes,None,No,UNK,1.5
DUN,E,DUN_E,2017,DUN_E_2017,No,Yes,None,No,UNK,2.5
DUN,W,DUN_W,2014,DUN_W_2014,No,No,None,No,UNK,Never
DUN,W,DUN_W,2015,DUN_W_2015,No,Yes,None,No,UNK,Never
DUN,W,DUN_W,2016,DUN_W_2016,No,Yes,None,No,UNK,Never
DUN,W,DUN_W,2017,DUN_W_2017,No,Yes,None,No,UNK,Never
GIL,C,GIL_C,2007,GIL_C_2007,FB,No,SLS,Yes,UNK,Never
GIL,C,GIL_C,2008,GIL_C_2008,FB,No,SLS,Yes,UNK,Never
GIL,C,GIL_C,2009,GIL_C_2009,FB,No,SLS,Yes,0,Never
