"Pasture_Patch_Year","Patch","Pasture","Year","Treatment","Herbicide.Treatment","Composite.Variable","CSG","WSG","Fescue","Forbs","Legumes","Woody","Bare","Litter","Seedmix","Robel","Panic","LitDep","Hvy.Fesc","Hvy.CSG","Hvy.WSG"
"BSH_C_2014","BSH_C","BSH","14","None","Spr","14-Spr",7.16666666666667,0.533333333333333,36,31.4,4.6,0.533333333333333,3.03333333333333,91.5666666666667,0.0333333333333333,5.51666666666667,0,2.4,8,1,0
"BSH_N_2014","BSH_N","BSH","14","None","Con","14-Con",3.26666666666667,0.633333333333333,28.1666666666667,29.5,1.66666666666667,0.2,6.66666666666667,88.9666666666667,0,4.24166666666667,0.0666666666666667,1.875,5,1,0
"BSH_S_2014","BSH_S","BSH","14","None","SnS","14-SnS",7.8,0,37.7333333333333,26.3333333333333,1.9,0.733333333333333,5.86666666666667,91.2333333333333,0,4.48333333333333,0,1.45833333333333,10,2,0
"DUN_C_2014","DUN_C","DUN","14","None","Con","14-Con",55.4333333333333,3.3,1.36666666666667,53.9666666666667,47.7,0,3.73333333333333,88.0666666666667,0,7.95,0.166666666666667,0.775,0,16,0
"DUN_C_2018","DUN_C","DUN","18","None","Con","18-Con",63.741935483871,4.7741935483871,20.8709677419355,19.0322580645161,7.7741935483871,2.7741935483871,7.48387096774194,57.1612903225806,0.0967741935483871,7.15322580645161,0.032258064516129,1.41935483870968,2,24,1
"DUN_E_2014","DUN_E","DUN","14","None","Spr","14-Spr",21,30.4666666666667,1.36666666666667,44.4666666666667,11.8666666666667,0,5.76666666666667,87.6333333333333,0.0333333333333333,8.88333333333333,0.8,1.03333333333333,0,4,8
"DUN_E_2018","DUN_E","DUN","18","None","Spr","18-Spr",40.1,24.9,5.03333333333333,38.4,0,2.63333333333333,2.3,84.6333333333333,0.133333333333333,8.24166666666667,0.0666666666666667,6.06666666666667,0,11,4
"DUN_W_2014","DUN_W","DUN","14","None","SnS","14-SnS",21.2333333333333,30,1.26666666666667,27.6,23,0,6.23333333333333,87.6333333333333,0,6.91666666666667,0.833333333333333,0.633333333333333,0,4,7
"DUN_W_2018","DUN_W","DUN","18","None","SnS","18-SnS",36.7666666666667,30.8,1.16666666666667,21.3,35.8666666666667,0,17.3333333333333,41.3333333333333,0.0333333333333333,5.225,0.1,0.75,0,9,7
"GIL_C_2014","GIL_C","GIL","14","GB","SnS","14-SnS",7.33333333333333,3.86666666666667,70.3333333333333,21.6,5.56666666666667,1.16666666666667,8.5,76.2666666666667,0.0666666666666667,2.4,0.266666666666667,1.66666666666667,25,0,0
"GIL_C_2018","GIL_C","GIL","18","GB","SnS","18-SnS",32.6666666666667,22.7333333333333,12.7666666666667,34.5333333333333,6.13333333333333,2.33333333333333,2.26666666666667,96,0.0666666666666667,4.90833333333333,0.366666666666667,1.78333333333333,2,5,3
"GIL_N_2014","GIL_N","GIL","14","GB","Spr","14-Spr",12.2666666666667,6,68.0666666666667,18.2333333333333,15.0333333333333,1.7,11.3333333333333,68.1,0,1.9,0.333333333333333,1.26666666666667,25,1,0
"GIL_N_2018","GIL_N","GIL","18","GB","Spr","18-Spr",35.8666666666667,15.7,10.4666666666667,29.1333333333333,11.6666666666667,0.1,22.5666666666667,71.0333333333333,0.0333333333333333,2.70833333333333,0.433333333333333,1.53333333333333,1,7,1
"GIL_S_2014","GIL_S","GIL","14","GB","Con","14-Con",11.8333333333333,0.3,71.5333333333333,23.6,8.43333333333333,3.53333333333333,11.5666666666667,72.4333333333333,0,2.49166666666667,0,1.43333333333333,27,3,0
"GIL_S_2018","GIL_S","GIL","18","GB","Con","18-Con",19.1666666666667,3.73333333333333,45.7333333333333,25.6333333333333,6.1,6.66666666666667,3.53333333333333,94,0.1,2.95,0.0666666666666667,1.63333333333333,13,0,0
"LTR_C_2014","LTR_C","LTR","14","GB","Spr","14-Spr",28.7,14.9,26.8,12.0666666666667,6.9,7.56666666666667,23.4666666666667,73.6,0,1.58333333333333,0.666666666666667,0.191666666666667,4,4,0
"LTR_C_2018","LTR_C","LTR","18","GB","Spr","18-Spr",15.1333333333333,26.3666666666667,15.8666666666667,43.3666666666667,10.2,1.5,71.0666666666667,20.1333333333333,0.166666666666667,2.51666666666667,0.333333333333333,0.05,3,2,6
"LTR_E_2014","LTR_E","LTR","14","GB","SnS","14-SnS",39.4333333333333,8.5,31.2666666666667,13.2,11.4,1.93333333333333,15.5666666666667,78.9,0,1.38333333333333,0.5,0.733333333333333,3,9,0
"LTR_E_2018","LTR_E","LTR","18","GB","SnS","18-SnS",25.1,11.9333333333333,19.7666666666667,50.8666666666667,14.6666666666667,0.5,50.6666666666667,31.9,0.133333333333333,2.725,0.666666666666667,0.1,1,4,0
"LTR_W_2014","LTR_W","LTR","14","GB","Con","14-Con",51.6333333333333,32.1,14.1333333333333,11.7333333333333,20.1666666666667,2.53333333333333,36.5,59.5333333333333,0,1.25833333333333,0.766666666666667,0.05,1,12,4
"LTR_W_2018","LTR_W","LTR","18","GB","Con","18-Con",8.06666666666667,33.5,11.4666666666667,21.4333333333333,17.3333333333333,3.8,64.4333333333333,25.6666666666667,0.0333333333333333,1.275,0.233333333333333,0.0833333333333333,0,0,4
"PYW_C_2014","PYW_C","PYW","14","GB","Spr","14-Spr",4.13333333333333,23.3333333333333,22.5666666666667,8.76666666666667,10.7,1.36666666666667,2.5,75.0333333333333,0,1.38333333333333,0.766666666666667,0.916666666666667,2,0,4
"PYW_C_2018","PYW_C","PYW","18","GB","Spr","18-Spr",27.1666666666667,18.7666666666667,13.4333333333333,30.3333333333333,18.8666666666667,1.5,41.7666666666667,48.2,0.0333333333333333,3.95,0.3,0.183333333333333,0,3,0
"PYW_N_2014","PYW_N","PYW","14","GB","SnS","14-SnS",3.06666666666667,12.6,41.4,3.7,15.4666666666667,0.633333333333333,3.46666666666667,84.4666666666667,0,1.60833333333333,0.6,0.95,8,0,1
"PYW_N_2018","PYW_N","PYW","18","GB","SnS","18-SnS",18.2,24.2666666666667,10.7333333333333,29.1,26.1333333333333,0,64.7666666666667,20.7,0,2.825,0.366666666666667,0.0166666666666667,0,0,2
"PYW_S_2014","PYW_S","PYW","14","GB","Con","14-Con",3.23333333333333,9.66666666666667,24.1666666666667,6.96666666666667,26.5666666666667,0.6,4.73333333333333,80.5,0,1.6,0.766666666666667,0.9,1,0,0
"PYW_S_2018","PYW_S","PYW","18","GB","Con","18-Con",25.7333333333333,16.5,23,24.7666666666667,35.5666666666667,1.9,20.7666666666667,65.9333333333333,0.0666666666666667,3.16666666666667,0.333333333333333,0.5,1,2,0
"RC2_C_2014","RC2_C","RC2","14","None","Spr","14-Spr",5.8,0,25.1333333333333,11.9666666666667,14.9666666666667,0.666666666666667,24.3666666666667,54.5,0,5,0.0333333333333333,1.2,4,1,0
"RC2_C_2018","RC2_C","RC2","18","None","Spr","18-Spr",30.6,3,7.66666666666667,29.6666666666667,36.4666666666667,0.533333333333333,28.3,61.9666666666667,0,4.83333333333333,0.0666666666666667,1.13333333333333,0,8,0
"RC2_N_2014","RC2_N","RC2","14","None","SnS","14-SnS",11.4,1.8,34.3,1.6,3.26666666666667,0.0333333333333333,16.3,50.6333333333333,0,3.675,0.0666666666666667,0.8,4,1,0
"RC2_N_2018","RC2_N","RC2","18","None","SnS","18-SnS",23.0666666666667,42.2333333333333,4.33333333333333,30.6,26.7666666666667,0.533333333333333,41.3,48.2333333333333,0.1,4.825,0.0333333333333333,0.883333333333333,0,3,14
"RC2_S_2014","RC2_S","RC2","14","None","Con","14-Con",11.8666666666667,0,13.6,35,33.1,1.06666666666667,37.7666666666667,40.8333333333333,0,4.425,0.0333333333333333,0.9,2,1,0
"RC2_S_2018","RC2_S","RC2","18","None","Con","18-Con",54.0333333333333,0,12.4666666666667,16.1,17.4,0.533333333333333,10.5333333333333,87.3,0,4.125,0.0333333333333333,2.48333333333333,1,19,0
"STE_N_2014","STE_N","STE","14","GB","Spr","14-Spr",14.5333333333333,5.26666666666667,55.9333333333333,10.2,13.0666666666667,2.5,14.0333333333333,80.9,0,2.41666666666667,0.633333333333333,1.4,19,4,0
"STE_N_2018","STE_N","STE","18","GB","Spr","18-Spr",9.13333333333333,12,24.0333333333333,16.1666666666667,41.9,0.533333333333333,8.63333333333333,86.5333333333333,0,2.44166666666667,0.1,3.4,2,0,0
"STE_S_2014","STE_S","STE","14","GB","SnS","14-SnS",4.86666666666667,5.3,73.8333333333333,8.76666666666667,9.6,2.26666666666667,7.6,85.2666666666667,0,2.85833333333333,0.366666666666667,1.48333333333333,24,1,1
"STE_S_2018","STE_S","STE","18","GB","SnS","18-SnS",26.2666666666667,5.9,19.5333333333333,21.1333333333333,64.3333333333333,0,13.6,79.1666666666667,0.133333333333333,4.31666666666667,0.0666666666666667,2.18333333333333,0,0,0
"STE_W_2014","STE_W","STE","14","GB","Con","14-Con",8.56666666666667,7.16666666666667,58.4666666666667,11.7666666666667,8.76666666666667,0,11.3333333333333,80.9,0,2.75833333333333,0.5,0.808333333333333,19,0,0
"STE_W_2018","STE_W","STE","18","GB","Con","18-Con",21.8,14.7,31.8333333333333,12.6,25.5666666666667,0,9.4,79.5666666666667,0,3.76666666666667,0.0666666666666667,1.78333333333333,4,2,0
