"Pasture_Patch_Year","Patch","Pasture","Year","Treatment","Herbicide.Treatment","Composite.Variable","CSG","WSG","Fescue","Forbs","Legumes","Woody","Bare","Litter","Seedmix","Robel","Panic","LitDep","Hvy.Fesc","Hvy.CSG","Hvy.WSG"
"BSH_C_2014","BSH_C","BSH","14","None","Spr","14-Spr",7.16666666666667,0.533333333333333,36,31.4,4.6,0.533333333333333,3.03333333333333,91.5666666666667,0.0333333333333333,5.51666666666667,0,2.4,2,1,0
"BSH_N_2014","BSH_N","BSH","14","None","Con","14-Con",3.26666666666667,0.633333333333333,28.1666666666667,29.5,1.66666666666667,0.2,6.66666666666667,88.9666666666667,0,4.24166666666667,0.0666666666666667,1.875,1,1,0
"BSH_S_2014","BSH_S","BSH","14","None","SnS","14-SnS",7.8,0,37.7333333333333,26.3333333333333,1.9,0.733333333333333,5.86666666666667,91.2333333333333,0,4.48333333333333,0,1.45833333333333,1,2,0
"DUN_C_2014","DUN_C","DUN","14","None","Con","14-Con",55.4333333333333,3.3,1.36666666666667,53.9666666666667,47.7,0,3.73333333333333,88.0666666666667,0,7.95,0.166666666666667,0.775,0,10,0
"DUN_E_2014","DUN_E","DUN","14","None","Spr","14-Spr",21,30.4666666666667,1.36666666666667,44.4666666666667,11.8666666666667,0,5.76666666666667,87.6333333333333,0.0333333333333333,8.88333333333333,0.8,1.03333333333333,0,1,5
"DUN_W_2014","DUN_W","DUN","14","None","SnS","14-SnS",21.2333333333333,30,1.26666666666667,27.6,23,0,6.23333333333333,87.6333333333333,0,6.91666666666667,0.833333333333333,0.633333333333333,0,2,5
"GIL_C_2014","GIL_C","GIL","14","GB","SnS","14-SnS",7.33333333333333,3.86666666666667,70.3333333333333,21.6,5.56666666666667,1.16666666666667,8.5,76.2666666666667,0.0666666666666667,2.4,0.266666666666667,1.66666666666667,15,0,0
"GIL_N_2014","GIL_N","GIL","14","GB","Spr","14-Spr",12.2666666666667,6,68.0666666666667,18.2333333333333,15.0333333333333,1.7,11.3333333333333,68.1,0,1.9,0.333333333333333,1.26666666666667,13,1,0
"GIL_S_2014","GIL_S","GIL","14","GB","Con","14-Con",11.8333333333333,0.3,71.5333333333333,23.6,8.43333333333333,3.53333333333333,11.5666666666667,72.4333333333333,0,2.49166666666667,0,1.43333333333333,16,1,0
"LTR_C_2014","LTR_C","LTR","14","GB","Spr","14-Spr",28.7,14.9,26.8,12.0666666666667,6.9,7.56666666666667,23.4666666666667,73.6,0,1.58333333333333,0.666666666666667,0.191666666666667,0,0,0
"LTR_E_2014","LTR_E","LTR","14","GB","SnS","14-SnS",39.4333333333333,8.5,31.2666666666667,13.2,11.4,1.93333333333333,15.5666666666667,78.9,0,1.38333333333333,0.5,0.733333333333333,0,4,0
"LTR_W_2014","LTR_W","LTR","14","GB","Con","14-Con",51.6333333333333,32.1,14.1333333333333,11.7333333333333,20.1666666666667,2.53333333333333,36.5,59.5333333333333,0,1.25833333333333,0.766666666666667,0.05,0,10,0
"PYW_C_2014","PYW_C","PYW","14","GB","Spr","14-Spr",4.13333333333333,23.3333333333333,22.5666666666667,8.76666666666667,10.7,1.36666666666667,2.5,75.0333333333333,0,1.38333333333333,0.766666666666667,0.916666666666667,1,0,0
"PYW_N_2014","PYW_N","PYW","14","GB","SnS","14-SnS",3.06666666666667,12.6,41.4,3.7,15.4666666666667,0.633333333333333,3.46666666666667,84.4666666666667,0,1.60833333333333,0.6,0.95,3,0,0
"PYW_S_2014","PYW_S","PYW","14","GB","Con","14-Con",3.23333333333333,9.66666666666667,24.1666666666667,6.96666666666667,26.5666666666667,0.6,4.73333333333333,80.5,0,1.6,0.766666666666667,0.9,0,0,0
"RC2_C_2014","RC2_C","RC2","14","None","Spr","14-Spr",5.8,0,25.1333333333333,11.9666666666667,14.9666666666667,0.666666666666667,24.3666666666667,54.5,0,5,0.0333333333333333,1.2,1,0,0
"RC2_N_2014","RC2_N","RC2","14","None","SnS","14-SnS",11.4,1.8,34.3,1.6,3.26666666666667,0.0333333333333333,16.3,50.6333333333333,0,3.675,0.0666666666666667,0.8,0,0,0
"RC2_S_2014","RC2_S","RC2","14","None","Con","14-Con",11.8666666666667,0,13.6,35,33.1,1.06666666666667,37.7666666666667,40.8333333333333,0,4.425,0.0333333333333333,0.9,0,0,0
"STE_N_2014","STE_N","STE","14","GB","Spr","14-Spr",14.5333333333333,5.26666666666667,55.9333333333333,10.2,13.0666666666667,2.5,14.0333333333333,80.9,0,2.41666666666667,0.633333333333333,1.4,7,1,0
"STE_S_2014","STE_S","STE","14","GB","SnS","14-SnS",4.86666666666667,5.3,73.8333333333333,8.76666666666667,9.6,2.26666666666667,7.6,85.2666666666667,0,2.85833333333333,0.366666666666667,1.48333333333333,19,1,1
"STE_W_2014","STE_W","STE","14","GB","Con","14-Con",8.56666666666667,7.16666666666667,58.4666666666667,11.7666666666667,8.76666666666667,0,11.3333333333333,80.9,0,2.75833333333333,0.5,0.808333333333333,7,0,0
