"Pasture_Patch_Year","Patch","Pasture","Year","Treatment","Herbicide.Treatment","Composite.Variable","CSG","WSG","Fescue","Forbs","Legumes","Woody","Bare","Litter","Seedmix","Robel","Panic","LitDep","Hvy.Fesc","Hvy.CSG","Hvy.WSG"
"BSH_C_2015","BSH_C","BSH","15","None","Spr","15-Spr",5.3,14.2333333333333,2.3,46.3,16.2666666666667,0.1,11.9333333333333,79.9,0,3.40833333333333,0.166666666666667,0.816666666666667,0,1,1
"BSH_C_2016","BSH_C","BSH","16","None","Spr","16-Spr",9.63333333333333,9.06666666666667,0.933333333333333,66.1333333333333,11.7333333333333,0.533333333333333,26,67.3666666666667,0.0333333333333333,9.4,0.266666666666667,1.51666666666667,0,1,0
"BSH_C_2017","BSH_C","BSH","17","None","Spr","17-Spr",13.7666666666667,8.63333333333333,3.6,68.5333333333333,20.2333333333333,5.96666666666667,51.0666666666667,50.3,0,12.35,0.4,0.483333333333333,0,0,0
"BSH_N_2015","BSH_N","BSH","15","None","Con","15-Con",6.03333333333333,0.266666666666667,46.9666666666667,31.5666666666667,16.3333333333333,1.26666666666667,14.1,78.1666666666667,0,2.98333333333333,0,0.916666666666667,1,0,0
"BSH_N_2016","BSH_N","BSH","16","None","Con","16-Con",27.6333333333333,0.633333333333333,25.1333333333333,38.3333333333333,8.96666666666667,0,2.86666666666667,95.6,0,5.1,0.0333333333333333,4.80833333333333,0,1,0
"BSH_N_2017","BSH_N","BSH","17","None","Con","17-Con",46,0.4,7.33333333333333,42.0666666666667,5.5,9.43333333333333,7.7,91.7333333333333,0,9.075,0.266666666666667,1.7,0,3,0
"BSH_S_2015","BSH_S","BSH","15","None","SnS","15-SnS",12.2333333333333,4.06666666666667,0.3,49.4333333333333,26.0333333333333,0.0333333333333333,23.3666666666667,73.0333333333333,0,3.94166666666667,0.2,0.666666666666667,0,1,0
"BSH_S_2016","BSH_S","BSH","16","None","SnS","16-SnS",3.26666666666667,15.3666666666667,0.966666666666667,70.1666666666667,17.2,0.633333333333333,25.2333333333333,69.8,0.0333333333333333,8.4,0.3,2.175,0,0,0
"BSH_S_2017","BSH_S","BSH","17","None","SnS","17-SnS",5.6,39.2333333333333,0.833333333333333,62.8666666666667,17,2.83333333333333,16.2,85.3333333333333,0.233333333333333,12.7166666666667,0.266666666666667,1.21666666666667,0,0,3
"DUN_C_2015","DUN_C","DUN","15","None","Con","15-Con",54.2333333333333,2.43333333333333,1.5,13.2333333333333,47.5333333333333,0.1,2.7,91.7,0.0333333333333333,6.61666666666667,0.1,6.25833333333333,0,11,0
"DUN_C_2016","DUN_C","DUN","16","None","Con","16-Con",79,2.53333333333333,2.63333333333333,13.4333333333333,20.7666666666667,0.1,6.93333333333333,80.9,0.0666666666666667,2.96666666666667,0.0333333333333333,1.71666666666667,0,24,0
"DUN_C_2017","DUN_C","DUN","17","None","Con","17-Con",62.5666666666667,4.43333333333333,6.76666666666667,12.6666666666667,1.83333333333333,2.13333333333333,2.36666666666667,96.8,0.0333333333333333,6.19166666666667,0,5.61666666666667,0,15,0
"DUN_C_2018","DUN_C","DUN","18","None","Con","18-Con",63.741935483871,4.7741935483871,20.8709677419355,19.0322580645161,7.7741935483871,2.7741935483871,7.48387096774194,57.1612903225806,0.0967741935483871,7.15322580645161,0.032258064516129,1.41935483870968,1,10,1
"DUN_E_2015","DUN_E","DUN","15","None","Spr","15-Spr",66.1,17.4333333333333,1.73333333333333,25.5,15.8666666666667,0,3.96666666666667,95.6333333333333,0,7.28333333333333,0.633333333333333,2.1,0,15,3
"DUN_E_2016","DUN_E","DUN","16","None","Spr","16-Spr",40.8666666666667,12.1,0,51.4,28.2333333333333,0,49.5,20.3,0.0666666666666667,5.35,0.333333333333333,0.391666666666667,0,4,1
"DUN_E_2017","DUN_E","DUN","17","None","Spr","17-Spr",48.9666666666667,5.06666666666667,1.36666666666667,34.5333333333333,14.0666666666667,2.13333333333333,3.56666666666667,94.8,0.133333333333333,7.55,0,7.92,0,5,1
"DUN_E_2018","DUN_E","DUN","18","None","Spr","18-Spr",40.1,24.9,5.03333333333333,38.4,0,2.63333333333333,2.3,84.6333333333333,0.133333333333333,8.24166666666667,0.0666666666666667,6.06666666666667,0,2,0
"DUN_W_2015","DUN_W","DUN","15","None","SnS","15-SnS",50,30.8333333333333,1.43333333333333,11.2333333333333,34.7333333333333,0,2.93333333333333,95.6333333333333,0.0333333333333333,5,0.466666666666667,2.95,0,9,6
"DUN_W_2016","DUN_W","DUN","16","None","SnS","16-SnS",17.8,15.0666666666667,0,59.3333333333333,40.0666666666667,0,60.9,25.6666666666667,0.0333333333333333,4.98333333333333,0.233333333333333,0.125,0,0,0
"DUN_W_2017","DUN_W","DUN","17","None","SnS","17-SnS",14.5,29.1,1.2,30.3,23.6333333333333,1.1,0.666666666666667,97.6,0.1,8.15,0.366666666666667,6.21666666666667,0,1,2
"DUN_W_2018","DUN_W","DUN","18","None","SnS","18-SnS",36.7666666666667,30.8,1.16666666666667,21.3,35.8666666666667,0,17.3333333333333,41.3333333333333,0.0333333333333333,5.225,0.1,0.75,0,2,0
"GIL_C_2015","GIL_C","GIL","15","GB","SnS","15-SnS",30.6774193548387,30.741935483871,8.48387096774194,24.8064516129032,8.58064516129032,0.0967741935483871,81.8387096774194,12.8709677419355,0.0645161290322581,0.92741935483871,0.354838709677419,0.17741935483871,1,4,6
"GIL_C_2016","GIL_C","GIL","16","GB","SnS","16-SnS",25.9666666666667,11.0666666666667,8.9,49.8,11.2666666666667,1.16666666666667,14.8,77,0.166666666666667,4.24166666666667,0.3,1.7,2,1,0
"GIL_C_2017","GIL_C","GIL","17","GB","SnS","17-SnS",18.9210526315789,20.7105263157895,9.63157894736842,46.4473684210526,32.4210526315789,3.31578947368421,7.34210526315789,86.8157894736842,0.263157894736842,5.63815789473684,0.447368421052632,1.43421052631579,0,1,2
"GIL_C_2018","GIL_C","GIL","18","GB","SnS","18-SnS",32.6666666666667,22.7333333333333,12.7666666666667,34.5333333333333,6.13333333333333,2.33333333333333,2.26666666666667,96,0.0666666666666667,4.90833333333333,0.366666666666667,1.78333333333333,1,2,1
